Country,Flood_Risk
Afghanistan,-
Albania,5
Algeria,6
Andorra,4
Angola,7
Antigua and Barbuda,3
Argentina,5
Armenia,5
Australia,3
Austria,2
Azerbaijan,5
Bahrain,4
Bangladesh,7
Barbados,2
Belarus,5
Belgium,3
Belize,5
Benin,7
Bhutan,6
"Bolivia, Plurinational State of",6
Bosnia and Herzegovina,5
Botswana,5
Brazil,6
Brunei,5
Bulgaria,5
Burkina Faso,7
Burundi,8
Cabo Verde,6
Cambodia,7
Cameroon,7
Canada,3
Central African Republic,7
Chad,8
Chile,4
China,5
Colombia,5
Comoros,7
Costa Rica,5
"Cote d'Ivoire",6
Croatia,4
Cuba,5
Cyprus,4
Czech Republic,4
Democratic Republic of Congo,8
Denmark,3
Djibouti,6
Dominica,4
Dominican Republic,6
Ecuador,4
Egypt,6
El Salvador,6
Equatorial Guinea,6
Eritrea,7
Estonia,4
Eswatini,6
Ethiopia,7
Fiji,5
Finland,3
France,3
Gabon,6
Georgia,5
Germany,3
Ghana,6
Global Averages,5
Greece,5
Grenada,3
Guatemala,6
Guinea,8
Guinea-Bissau,7
Guyana,6
Haiti,7
Honduras,6
Hungary,4
Iceland,3
India,6
Indonesia,6
"Iran, Islamic Republic of",5
Iraq,6
Ireland,4
Israel,4
Italy,4
Jamaica,4
Japan,3
Jordan,5
Kazakhstan,5
Kenya,5
Kiribati,6
Kosovo,5
Kuwait,5
Kyrgyz Republic,6
Laos,6
Latvia,5
Lebanon,6
Lesotho,7
Liberia,7
Libya,7
Liechtenstein,4
Lithuania,4
Luxembourg,3
Madagascar,7
Malawi,7
Malaysia,4
Maldives,-
Mali,7
Malta,4
Mauritania,8
Mauritius,4
Mexico,5
Moldova,6
Mongolia,6
Montenegro,5
Morocco,5
Mozambique,7
Myanmar,7
Namibia,5
Nauru,3
Nepal,6
Netherlands,3
New Zealand,3
Nicaragua,6
Niger,7
Nigeria,7
North Korea,-
North Macedonia,5
Norway,3
Oman,5
Pakistan,6
Palau,4
Panama,4
Papua New Guinea,7
Paraguay,6
Peru,6
Philippines,6
Poland,4
Portugal,3
Qatar,3
Republic of Congo,6
Romania,5
"Russian Federation",5
Rwanda,5
Samoa,5
Saudi Arabia,5
Senegal,6
Serbia,5
Seychelles,4
Sierra Leone,7
Singapore,3
Slovak Republic,5
Slovenia,4
Solomon Islands,7
Somalia,7
South Africa,5
South Korea,1
South Sudan,7
Spain,3
Sri Lanka,5
St. Lucia,4
St. Vincent and the Grenadines,4
Sudan,7
Suriname,6
Sweden,3
Switzerland,2
Syrian Arab Republic,6
Tajikistan,6
"Tanzania, United Republic of",7
Thailand,5
The Bahamas,4
The Gambia,6
Timor-Leste,7
Togo,6
Tonga,5
Trinidad and Tobago,4
Tunisia,5
Turkey,4
Turkmenistan,6
Tuvalu,5
Uganda,7
Ukraine,5
United Arab Emirates,3
United Kingdom,3
United States,2
Uruguay,5
Uzbekistan,6
Vanuatu,6
"Venezuela, Bolivarian Republic of",5
Vietnam,6
Yemen,8
Zambia,6
Zimbabwe,7
